,num,neutral,positive,negative,skip,mark,adj,caps_lock,exclamation_mark,label
num,1.0,0.2170243931570617,0.07844778040013753,-0.31603458232293113,0.08366356837920468,-0.19023190243718796,-0.260040291098089,-0.09138093181191685,-0.19889692072338253,-0.5875016642571843
neutral,0.2170243931570617,1.0,-0.1273744000819604,-0.37049735845005494,-0.07496603352120082,-0.17428262755959253,-0.22308690606562212,-0.04689337361288975,-0.06868434742971159,-0.4670965564527103
positive,0.07844778040013753,-0.1273744000819604,1.0,-0.3307811054840998,-0.016686959036146542,-0.010590474217401034,0.004288992908405887,0.014323376866126893,0.02993036421779524,-0.001960972700159588
negative,-0.31603458232293113,-0.37049735845005494,-0.3307811054840998,1.0,-0.3236561584704168,0.13008397718992443,0.16207013617838384,0.04013128596589712,-0.01595911320067541,0.27112442585164115
skip,0.08366356837920468,-0.07496603352120082,-0.016686959036146542,-0.3236561584704168,1.0,-0.03947278518710663,-0.043432890052498015,5.145940346100389e-05,-0.019214015457385325,-0.00972077637986047
mark,-0.19023190243718796,-0.17428262755959253,-0.010590474217401034,0.13008397718992443,-0.03947278518710663,1.0,0.30081122233527996,0.07507014531419634,0.1510363315607209,0.26452605419016717
adj,-0.260040291098089,-0.22308690606562212,0.004288992908405887,0.16207013617838384,-0.043432890052498015,0.30081122233527996,1.0,0.0553350047538494,0.1605880751328342,0.3270734492493113
caps_lock,-0.09138093181191685,-0.04689337361288975,0.014323376866126893,0.04013128596589712,5.145940346100389e-05,0.07507014531419634,0.0553350047538494,1.0,0.11047983094607712,0.1302893793662464
exclamation_mark,-0.19889692072338253,-0.06868434742971159,0.02993036421779524,-0.01595911320067541,-0.019214015457385325,0.1510363315607209,0.1605880751328342,0.11047983094607712,1.0,0.24045805806671952
label,-0.5875016642571843,-0.4670965564527103,-0.001960972700159588,0.27112442585164115,-0.00972077637986047,0.26452605419016717,0.3270734492493113,0.1302893793662464,0.24045805806671952,1.0
,,,,,,,,,,
label,-0.47977134713411024,-0.39741690161399146,-0.017252741107615214,0.2545689597657365,-0.031400027602288216,0.3500764510929082,0.44195552682730416,0.1485095938376619,0.422099082650701,1.0
,,,,,,,,,,
label,-0.5875016642571854,-0.4830885624739049,-0.017324231690346113,0.30805487927753045,-0.03156794514254732,0.3588648975822708,0.45715611278911994,0.14862250492375498,0.43371069671682927,1.0
