,num,neutral,positive,negative,skip,mark,adj,caps_lock,exclamation_mark,label
num,1.0,0.15776787278571056,0.07696656184368472,-0.23166240194671356,0.08183645908583573,-0.20575055852710164,-0.27811545889843314,-0.0938595149572574,-0.25990156027784883,-0.47977134713411024
neutral,0.15776787278571056,1.0,-0.05253269637826079,-0.3032807741829017,-0.004889326451695334,-0.19976039125595654,-0.25655265154734197,-0.04817966696371735,-0.1629478340388414,-0.39741690161399146
positive,0.07696656184368472,-0.05253269637826079,1.0,-0.1815910880943793,-0.019790239191957975,-0.017872398029000553,-0.006276350732537295,0.020844038216365674,0.03596412616705148,-0.017252741107615214
negative,-0.23166240194671356,-0.3032807741829017,-0.1815910880943793,1.0,-0.19499821730056383,0.1218763747568898,0.16250979872896215,0.0284530060505063,0.038044552856213575,0.2545689597657365
skip,0.08183645908583573,-0.004889326451695334,-0.019790239191957975,-0.19499821730056383,1.0,-0.05993111154807557,-0.06422916211205475,-0.0027164098689081598,-0.02105713967075417,-0.031400027602288216
mark,-0.20575055852710164,-0.19976039125595654,-0.017872398029000553,0.1218763747568898,-0.05993111154807557,1.0,0.33014023048020846,0.07447046270683218,0.1911524621057568,0.3500764510929082
adj,-0.27811545889843314,-0.25655265154734197,-0.006276350732537295,0.16250979872896215,-0.06422916211205475,0.33014023048020846,1.0,0.08696337135295758,0.23516597180330015,0.44195552682730416
caps_lock,-0.0938595149572574,-0.04817966696371735,0.020844038216365674,0.0284530060505063,-0.0027164098689081598,0.07447046270683218,0.08696337135295758,1.0,0.15017239291959122,0.1485095938376619
exclamation_mark,-0.25990156027784883,-0.1629478340388414,0.03596412616705148,0.038044552856213575,-0.02105713967075417,0.1911524621057568,0.23516597180330015,0.15017239291959122,1.0,0.422099082650701
label,-0.47977134713411024,-0.39741690161399146,-0.017252741107615214,0.2545689597657365,-0.031400027602288216,0.3500764510929082,0.44195552682730416,0.1485095938376619,0.422099082650701,1.0
