,num,neutral,positive,negative,skip,mark,adj,caps_lock,exclamation_mark,label
num,1.0,0.23041082572271535,0.09454757514879232,-0.3359617028887391,0.1006273940928401,-0.25770754303867877,-0.3530653761824413,-0.11498777525877402,-0.32615456704603524,-0.5875016642571854
neutral,0.23041082572271535,1.0,-0.06408601122009396,-0.4263715569747755,-0.006000894338580727,-0.24816234078352817,-0.32127623513131637,-0.05859055994389752,-0.20380976702243078,-0.4830885624739049
positive,0.09454757514879232,-0.06408601122009396,1.0,-0.22072141072820634,-0.01997851502082251,-0.018388817221952347,-0.006508163042196645,0.02094598621827714,0.037080555743660835,-0.017324231690346113
negative,-0.3359617028887391,-0.4263715569747755,-0.22072141072820634,1.0,-0.23714469210885697,0.15058895279077666,0.20246875923629645,0.03445374054870693,0.04744369225821759,0.30805487927753045
skip,0.1006273940928401,-0.006000894338580727,-0.01997851502082251,-0.23714469210885697,1.0,-0.06176701648939738,-0.06679200986872719,-0.00273347391351484,-0.02174541595220956,-0.03156794514254732
mark,-0.25770754303867877,-0.24816234078352817,-0.018388817221952347,0.15058895279077666,-0.06176701648939738,1.0,0.34741563512778184,0.0763858631868136,0.20126186363661336,0.3588648975822708
adj,-0.3530653761824413,-0.32127623513131637,-0.006508163042196645,0.20246875923629645,-0.06679200986872719,0.34741563512778184,1.0,0.09006040153856298,0.24939125656458966,0.45715611278911994
caps_lock,-0.11498777525877402,-0.05859055994389752,0.02094598621827714,0.03445374054870693,-0.00273347391351484,0.0763858631868136,0.09006040153856298,1.0,0.15435143905182006,0.14862250492375498
exclamation_mark,-0.32615456704603524,-0.20380976702243078,0.037080555743660835,0.04744369225821759,-0.02174541595220956,0.20126186363661336,0.24939125656458966,0.15435143905182006,1.0,0.43371069671682927
label,-0.5875016642571854,-0.4830885624739049,-0.017324231690346113,0.30805487927753045,-0.03156794514254732,0.3588648975822708,0.45715611278911994,0.14862250492375498,0.43371069671682927,1.0
